"cm_id","X_Easting","Y_Northing","timestamp","group"
"71",1430035.46835549,5083162.0149546,2020-02-07 01:32:23,19
"71",1430035.46835549,5083162.0149546,2020-02-07 01:37:14,20
"71",1430035.46835549,5083162.0149546,2020-02-07 01:52:16,23
"71",1430037.87108827,5083164.63408089,2020-02-07 02:17:21,28
"71",1430037.87108827,5083164.63408089,2020-02-07 02:22:12,29
"71",1430037.87108827,5083164.63408089,2020-02-07 02:27:02,30
"71",1430037.87108827,5083164.63408089,2020-02-07 02:32:20,31
"71",1430037.87108827,5083164.63408089,2020-02-07 02:37:10,32
"71",1430037.87108827,5083164.63408089,2020-02-07 02:42:29,33
"71",1430037.87108827,5083164.63408089,2020-02-07 02:47:18,34
"71",1430037.87108827,5083164.63408089,2020-02-07 02:52:09,35
"71",1430037.87108827,5083164.63408089,2020-02-07 02:57:28,36
"71",1430037.87108827,5083164.63408089,2020-02-07 03:02:23,37
"71",1430037.87108827,5083164.63408089,2020-02-07 03:07:13,38
"71",1430037.87108827,5083164.63408089,2020-02-07 03:12:03,39
"71",1430037.87108827,5083164.63408089,2020-02-07 03:17:25,40
"71",1430037.71766421,5083170.52116574,2020-02-07 03:22:17,41
"71",1430028.90794173,5083181.29566815,2020-02-07 03:32:28,43
"71",1430028.90794173,5083181.29566815,2020-02-07 03:37:17,44
"71",1430038.7909143,5083175.21754126,2020-02-07 03:42:08,45
"71",1430038.7909143,5083175.21754126,2020-02-07 03:47:26,46
"71",1430038.7909143,5083175.21754126,2020-02-07 03:52:17,47
"71",1430036.42001988,5083171.37656767,2020-02-07 03:57:09,48
"71",1430036.42001988,5083171.37656767,2020-02-07 04:02:27,49
"71",1430036.42001988,5083171.37656767,2020-02-07 04:07:17,50
"71",1430026.470466,5083180.00946355,2020-02-07 04:12:11,51
"71",1430029.8248629,5083191.99020692,2020-02-07 04:17:05,52
"71",1430029.8248629,5083191.99020692,2020-02-07 04:22:03,53
